event_id_cnty,event_date,event_type,country,admin1,admin2,admin3,latitude,longitude,fatalities
MZM1709,2020-08-06,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3245,40.3122,0
MZM1667,2020-08-06,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,8
MZM1666,2020-08-05,Battles,Mozambique,"Cabo Delgado",Quissanga,Quissanga,-12.4341,40.4836,12
MZM1732,2020-08-05,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,-11.5096,40.0314,0
MZM1664,2020-08-05,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3905,40.3822,0
MZM1665,2020-08-05,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,8
MZM1662,2020-07-31,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Chai,-11.9358,39.9847,0
MZM1663,2020-07-31,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0897,40.4192,0
MZM1655,2020-07-31,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM1661,2020-07-30,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0897,40.4192,0
MZM1660,2020-07-29,Riots,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM1654,2020-07-29,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,9
MZM1651,2020-07-28,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Macomia,-12.2467,40.1208,0
MZM1650,2020-07-28,Battles,Mozambique,"Cabo Delgado",Macomia,Chai,-11.9358,39.9847,14
MZM1653,2020-07-28,"Violence against civilians",Mozambique,Nampula,Nampula,Nampula,-15.1200,39.2647,1
MZM1652,2020-07-28,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,1
MZM1649,2020-07-26,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Chai,-11.8882,40.0743,6
MZM1648,2020-07-25,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Chai,-11.8882,40.0743,2
MZM1647,2020-07-25,"Violence against civilians",Mozambique,Maputo,"Cidade Da Matola","Cidade Da Matola",-25.9622,32.4589,1
MZM1797,2020-07-24,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0897,40.4192,0
MZM2078,2020-07-23,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Macomia,-12.2467,40.1208,1
MZM1644,2020-07-23,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0897,40.4192,0
MZM1646,2020-07-23,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0653,40.4794,2
MZM1643,2020-07-21,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0653,40.4794,2
MZM1642,2020-07-20,Battles,Mozambique,Manica,Sussundenga,Dombe,-19.9713,33.3983,5
MZM1641,2020-07-19,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.3175,40.4986,0
MZM1640,2020-07-18,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,12
MZM1638,2020-07-17,Riots,Mozambique,Maputo,"Cidade Da Matola","Cidade Da Matola",-25.9622,32.4589,1
MZM1639,2020-07-17,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Macomia,-12.1643,40.1113,1
MZM1636,2020-07-15,"Violence against civilians",Mozambique,"Cabo Delgado",Muidumbe,Chitunda,-11.6375,39.9847,20
MZM1637,2020-07-15,Battles,Mozambique,"Cabo Delgado",Muidumbe,Chitunda,-11.8081,40.0064,10
MZM1731,2020-07-15,"Violence against civilians",Mozambique,"Cabo Delgado",Ibo,Ibo,-12.3445,40.5895,0
MZM1708,2020-07-14,"Violence against civilians",Mozambique,"Cabo Delgado",Pemba,Pemba,-12.9733,40.5176,0
MZM1776,2020-07-14,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Chai,-11.8966,40.1097,1
MZM1796,2020-07-14,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
MZM1630,2020-07-14,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Chai,-11.9319,40.1103,1
MZM1707,2020-07-13,Battles,Mozambique,"Cabo Delgado",Quissanga,Bilibiza,-12.5042,40.1864,4
MZM1706,2020-07-13,Battles,Mozambique,"Cabo Delgado",Quissanga,Quissanga,-12.3822,40.2624,3
MZM1635,2020-07-13,"Violence against civilians",Mozambique,"Cabo Delgado",Muidumbe,Chitunda,-11.8511,40.0761,2
MZM1634,2020-07-12,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,-11.5096,40.0314,2
MZM1633,2020-07-11,"Violence against civilians",Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM1632,2020-07-08,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0653,40.4794,13
